State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
Andhra Pradesh,16254,19207,23926,28794,33358,35176,45140,53283,59875,64124,71906,79882,92589,110591,123717,125198,133555
Arunachal Pradesh,49,62,78,98,136,173,215,318,316,435,462,535,709,1747,1274,1229,1500
Assam,2713,3232,3483,3360,4150,4987,5930,7638,8250,8995,9450,10107,12080,15467,16422,16529,18678
Bihar,3342,3561,4033,5086,6173,8090,9870,12612,16253,19961,20750,25449,23742,29708,30858,30144,34750
Chhattisgarh,3228,4052,5046,5618,6594,7123,9005,10712,13034,14343,15707,17075,18945,21989,21889,22118,22550
Goa,857,1096,1292,1359,1694,1762,2140,2551,2940,3582,3896,3975,4261,4988,4871,4701,5164
Gujarat,12958,15698,18465,21886,23557,26740,36339,44252,53897,56372,61340,62649,64443,73646,80565,79008,83410
Haryana,7440,9079,10928,11618,11655,13220,16790,20399,23559,25567,27635,30929,34026,41836,42744,42825,46529
Himachal Pradesh,1252,1497,1656,1958,2242,2575,3642,4108,4626,5121,5940,6696,7039,7593,7680,7624,7917
Jammu & Kashmir,1400,1689,1903,2299,2693,3075,3483,4745,5832,6273,6334,7326,7819,10797,10104,9467,10837
Jharkhand,2402,2888,3128,3550,5084,5560,5967,6954,8224,9380,10350,11479,13299,14488,14752,16771,20844
Karnataka,16072,18632,23301,25987,27646,30579,38473,46476,53754,62604,70180,75550,82956,90335,97537,102363,94942
Kerala,8964,9779,11942,13669,15990,17625,21722,25719,30077,31995,35233,38995,42176,48160,51019,50323,45272
Madhya Pradesh,7773,9115,10473,12018,13614,17273,21419,26973,30582,33552,36567,40214,44194,49943,52125,55824,53147
Maharashtra,30606,33540,40099,47528,52030,59106,75027,87608,103449,108598,115064,126608,136592,171686,188341,188945,184519
Odisha,4177,5002,6065,6856,7995,8982,11193,13443,15034,16892,19828,22527,22852,31070,31015,32315,32500
Punjab,6945,8989,9017,9899,11150,12039,16828,18841,22588,24079,25570,26690,27747,31496,31811,29995,30409
Rajasthan,8415,9880,11608,13275,14943,16414,20758,25377,30503,33478,38673,42713,44372,54342,58205,59245,68885
Tamil Nadu,19357,23326,27771,29619,33684,36547,47782,59517,71254,73718,78657,80476,85941,96472,106138,107462,109969
Uttar Pradesh,15693,18858,22998,24959,28659,33878,41355,52613,58098,66582,74172,81106,85966,109605,122816,122826,124867
Uttarakhand,1444,1785,2514,2739,3045,3559,4405,5616,6414,7355,8338,9378,10897,10880,12346,11513,10791
West Bengal,9924,10388,11695,13126,14419,16900,21129,24938,32808,35831,39412,42492,45466,57701,61831,60669,59887
NCT Delhi,7106,8939,10156,11783,12181,13448,16478,19972,23432,25919,26604,30225,31140,35717,36625,36566,29300
All States and UTs,189133,221726,263274,298981,334836,377377,478684,578955,679899,740242,807874,879630,946453,1130460,1214845,1223993,1241117
