date,x,y,percentChange,change
1994-04-28,767491200000,12.78,,
1994-05-02,767836800000,12.76,-0.156,-0.02
1994-06-01,770428800000,12.81,0.392,0.05
1994-07-01,773020800000,12.64,-1.327,-0.17
1994-08-01,775699200000,12.38,-2.057,-0.26
1994-09-01,778377600000,12.5,0.969,0.12
1994-10-03,781142400000,12.11,-3.12,-0.39
1994-11-01,783648000000,12.13,0.165,0.02
1994-12-01,786240000000,12.29,1.319,0.16
1995-01-02,789004800000,12.45,1.302,0.16
1995-02-01,791596800000,12.8,2.811,0.35000000000000003
1995-03-01,794016000000,12.8,0.0,0.0
1995-04-03,796867200000,13.7,7.031,0.9
1995-05-01,799286400000,14.13,3.1390000000000002,0.43
1995-06-01,801964800000,14.37,1.699,0.24
1995-07-03,804729600000,14.42,0.34800000000000003,0.05
1995-08-01,807235200000,14.33,-0.624,-0.09
1995-09-01,809913600000,14.48,1.047,0.15
1995-10-02,812592000000,14.47,-0.069,-0.01
1995-11-01,815184000000,14.69,1.52,0.22
1995-12-01,817776000000,14.32,-2.519,-0.37
1996-01-01,820454400000,14.47,1.047,0.15
1996-02-01,823132800000,14.54,0.484,0.07
1996-03-01,825638400000,14.54,0.0,0.0
1996-04-01,828316800000,14.65,0.757,0.11
1996-05-01,830908800000,14.33,-2.184,-0.32
1996-06-03,833760000000,13.86,-3.2800000000000002,-0.47000000000000003
1996-07-01,836179200000,14.27,2.958,0.41000000000000003
1996-08-01,838857600000,14.36,0.631,0.09
1996-09-02,841622400000,14.42,0.418,0.06
1996-10-01,844128000000,13.65,-5.34,-0.77
1996-11-01,846806400000,13.73,0.586,0.08
1996-12-02,849484800000,13.74,0.073,0.01
1997-01-01,852076800000,13.6,-1.019,-0.14
1997-02-03,854928000000,13.6,0.0,0.0
1997-03-03,857347200000,13.5,-0.735,-0.1
1997-04-01,859852800000,12.85,-4.815,-0.65
1997-05-01,862444800000,12.91,0.467,0.06
1997-06-02,865209600000,12.64,-2.091,-0.27
1997-07-01,867715200000,11.97,-5.301,-0.67
1997-08-01,870393600000,11.7,-2.2560000000000002,-0.27
1997-09-01,873072000000,11.68,-0.171,-0.02
1997-10-01,875664000000,10.9,-6.678,-0.78
1997-11-03,878515200000,10.9,0.0,0.0
1997-12-01,880934400000,10.9,0.0,0.0
1998-01-01,883612800000,10.9,0.0,0.0
1998-02-02,886377600000,10.9,0.0,0.0
1998-03-02,888796800000,10.9,0.0,0.0
1998-04-01,891388800000,11.85,8.716,0.9500000000000001
1998-05-01,893980800000,11.88,0.253,0.03
1998-06-01,896659200000,12.15,2.273,0.27
1998-07-01,899251200000,12.2,0.41200000000000003,0.05
1998-08-03,902102400000,12.2,0.0,0.0
1998-09-01,904608000000,12.2,0.0,0.0
1998-10-01,907200000000,12.2,0.0,0.0
1998-11-02,909964800000,12.2,0.0,0.0
1998-12-01,912470400000,12.22,0.164,0.02
1999-01-01,915148800000,12.22,0.0,0.0
1999-02-01,917827200000,12.22,0.0,0.0
1999-03-01,920246400000,12.22,0.0,0.0
1999-04-01,922924800000,12.22,0.0,0.0
1999-05-03,925689600000,12.22,0.0,0.0
1999-06-01,928195200000,12.22,0.0,0.0
1999-07-01,930787200000,11.639,-4.755,-0.581
1999-08-02,933552000000,11.588,-0.438,-0.051000000000000004
1999-09-01,936144000000,11.634,0.397,0.046
1999-10-01,938736000000,11.521,-0.971,-0.113
1999-11-01,941414400000,11.384,-1.189,-0.137
1999-12-01,944006400000,11.197,-1.643,-0.187
2000-01-03,946857600000,10.897,-2.6790000000000003,-0.30000000000000004
2000-02-01,949363200000,10.405,-4.515,-0.492
2000-03-01,951868800000,10.756,3.373,0.35100000000000003
2000-04-03,954720000000,10.342,-3.849,-0.41400000000000003
2000-05-01,957139200000,10.827,4.69,0.485
2000-06-01,959817600000,11.059,2.143,0.232
2000-07-03,962582400000,11.354,2.668,0.295
2000-08-01,965088000000,11.505,1.33,0.151
2000-09-01,967766400000,11.54,0.304,0.035
2000-10-02,970444800000,11.6,0.52,0.06
2000-11-01,973036800000,11.348,-2.172,-0.252
2000-12-01,975628800000,10.894,-4.001,-0.454
2001-01-01,978307200000,10.424,-4.314,-0.47000000000000003
2001-02-01,980985600000,10.078,-3.319,-0.34600000000000003
2001-03-01,983404800000,10.37,2.8970000000000002,0.292
2001-04-02,986169600000,10.125,-2.363,-0.245
2001-05-01,988675200000,9.762,-3.585,-0.363
2001-06-01,991353600000,9.522,-2.459,-0.24
2001-07-02,994032000000,9.363,-1.67,-0.159
2001-08-01,996624000000,9.114,-2.659,-0.249
2001-09-03,999475200000,9.116,0.022,0.002
2001-10-01,1001894400000,8.8,-3.466,-0.316
2001-11-01,1004572800000,7.88,-10.455,-0.92
2001-12-03,1007337600000,7.939,0.749,0.059000000000000004
2002-01-01,1009843200000,7.6690000000000005,-3.401,-0.27
2002-02-01,1012521600000,7.627,-0.548,-0.042
2002-03-01,1014940800000,7.359,-3.5140000000000002,-0.268
2002-04-01,1017619200000,7.41,0.6930000000000001,0.051000000000000004
2002-05-01,1020211200000,7.723,4.224,0.313
2002-06-03,1023062400000,7.485,-3.082,-0.23800000000000002
2002-07-01,1025481600000,7.308,-2.365,-0.177
2002-08-01,1028160000000,7.159,-2.039,-0.149
2002-09-02,1030924800000,7.168,0.126,0.009000000000000001
2002-10-01,1033430400000,6.925,-3.39,-0.243
2002-11-01,1036108800000,6.454,-6.801,-0.47100000000000003
2002-12-02,1038787200000,6.083,-5.748,-0.371
2003-01-01,1041379200000,6.323,3.9450000000000003,0.24
2003-02-03,1044230400000,5.966,-5.646,-0.357
2003-03-03,1046649600000,6.127,2.699,0.161
2003-04-01,1049155200000,5.882,-3.999,-0.245
2003-05-01,1051747200000,5.793,-1.513,-0.089
2003-06-02,1054512000000,5.728,-1.1219999999999999,-0.065
2003-07-01,1057017600000,5.616,-1.955,-0.112
