date,x,y,percentChange,change
2007-03-26,1174867200000,7.55,,
2007-04-03,1175558400000,7.4,-1.987,-0.15
2007-05-03,1178150400000,7.1,-4.054,-0.30000000000000004
2007-06-01,1180656000000,7.25,2.113,0.15
2007-07-02,1183334400000,6.25,-13.793,-1.0
2007-08-01,1185926400000,6.9,10.4,0.65
2007-09-03,1188777600000,7.1,2.899,0.2
2007-10-01,1191196800000,7.25,2.113,0.15
2007-11-01,1193875200000,7.48,3.172,0.23
2007-12-03,1196640000000,7.38,-1.337,-0.1
2008-01-01,1199145600000,7.18,-2.71,-0.2
2008-02-01,1201824000000,7.38,2.786,0.2
2008-03-03,1204502400000,7.13,-3.388,-0.25
2008-04-02,1207094400000,7.3,2.384,0.17
2008-05-02,1209686400000,7.42,1.6440000000000001,0.12
2008-06-02,1212364800000,8.9,19.946,1.48
2008-07-01,1214870400000,9.25,3.933,0.35000000000000003
2008-08-01,1217548800000,9.0,-2.7030000000000003,-0.25
2008-09-01,1220227200000,8.65,-3.8890000000000002,-0.35000000000000003
2008-10-01,1222819200000,7.15,-17.341,-1.5
2008-11-03,1225670400000,7.05,-1.399,-0.1
2008-12-01,1228089600000,4.85,-31.206,-2.2
2009-01-01,1230768000000,4.7,-3.093,-0.15
2009-02-02,1233532800000,4.6,-2.128,-0.1
2009-03-02,1235952000000,4.7,2.174,0.1
2009-04-02,1238630400000,3.35,-28.723,-1.35
2009-05-04,1241395200000,3.3,-1.4929999999999999,-0.05
2009-06-01,1243814400000,3.35,1.5150000000000001,0.05
2009-07-01,1246406400000,3.25,-2.985,-0.1
2009-08-03,1249257600000,3.43,5.538,0.18
2009-09-01,1251763200000,3.3,-3.79,-0.13
2009-10-01,1254355200000,3.24,-1.818,-0.06
2009-11-03,1257206400000,3.341,3.117,0.101
2009-12-01,1259625600000,3.65,9.249,0.309
2010-01-01,1262304000000,3.9779999999999998,8.986,0.328
2010-02-01,1264982400000,4.15,4.324,0.17200000000000001
2010-03-02,1267488000000,4.25,2.41,0.1
2010-04-01,1270080000000,4.1,-3.529,-0.15
2010-05-03,1272844800000,5.0,21.951,0.9
2010-06-01,1275350400000,5.35,7.0,0.35000000000000003
2010-07-01,1277942400000,5.8,8.411,0.45
