date,x,y,percentChange,change
22/06/98,8.98474E+11,42.3,,
01/07/98,8.99251E+11,42.5,0.473,0.2
03/08/98,9.02102E+11,42.4,-0.235,-0.1
01/09/98,9.04608E+11,42.38,-0.047,-0.02
01/10/98,9.072E+11,42.3,-0.189,-0.08
02/11/98,9.09965E+11,42.51,0.496,0.21
01/12/98,9.1247E+11,42.42,-0.212,-0.09
04/01/99,9.15408E+11,42.44,0.047,0.02
01/02/99,9.17827E+11,42.53,0.212,0.09
01/03/99,9.20246E+11,42.34,-0.447,-0.19
01/04/99,9.22925E+11,42.76,0.992,0.42
03/05/99,9.2569E+11,42.8,0.094,0.04
01/06/99,9.28195E+11,43.31,1.192,0.51
01/07/99,9.30787E+11,43.25,-0.139,-0.06
02/08/99,9.33552E+11,43.48,0.532,0.23
01/09/99,9.36144E+11,43.53,0.115,0.05
01/10/99,9.38736E+11,43.32,-0.482,-0.21
01/11/99,9.41414E+11,43.33,0.023,0.01
01/12/99,9.44006E+11,43.495,0.381,0.165
03/01/00,9.46858E+11,43.6,0.241,0.105
01/02/00,9.49363E+11,43.61,0.023,0.01
01/03/00,9.51869E+11,43.55,-0.138,-0.06
03/04/00,9.5472E+11,43.6,0.115,0.05
01/05/00,9.57139E+11,44.5,2.064,0.9
01/06/00,9.59818E+11,44.6,0.225,0.1
03/07/00,9.62582E+11,44.95,0.785,0.35
01/08/00,9.65088E+11,45.71,1.691,0.76
01/09/00,9.67766E+11,45.9,0.416,0.19
02/10/00,9.70445E+11,46.79,1.939,0.89
01/11/00,9.73037E+11,46.79,0,0
01/12/00,9.75629E+11,46.61,-0.385,-0.18
02/01/01,9.78394E+11,46.34,-0.579,-0.27
01/02/01,9.80986E+11,46.49,0.324,0.15
01/03/01,9.83405E+11,46.57,0.172,0.08
02/04/01,9.8617E+11,46.79,0.472,0.22
01/05/01,9.88675E+11,46.95,0.342,0.16
01/06/01,9.91354E+11,46.99,0.085,0.04
02/07/01,9.94032E+11,47.08,0.192,0.09
01/08/01,9.96624E+11,47.07,-0.021,-0.01
03/09/01,9.99475E+11,47.8,1.551,0.73
01/10/01,1.00189E+12,47.94,0.293,0.14
01/11/01,1.00457E+12,47.88,-0.125,-0.06
03/12/01,1.00734E+12,48.17,0.606,0.29
02/01/02,1.00993E+12,48.46,0.602,0.29
01/02/02,1.01252E+12,48.66,0.413,0.2
01/03/02,1.01494E+12,48.73,0.144,0.07
01/04/02,1.01762E+12,48.88,0.308,0.15
01/05/02,1.02021E+12,48.96,0.164,0.08
03/06/02,1.02306E+12,48.81,-0.306,-0.15
01/07/02,1.02548E+12,48.59,-0.451,-0.22
01/08/02,1.02816E+12,48.42,-0.35,-0.17
02/09/02,1.03092E+12,48.3,-0.248,-0.12
01/10/02,1.03343E+12,48.29,-0.021,-0.01
01/11/02,1.03611E+12,48.26,-0.062,-0.03
02/12/02,1.03879E+12,47.9,-0.746,-0.36
01/01/03,1.04138E+12,47.75,-0.313,-0.15
03/02/03,1.04423E+12,47.56,-0.398,-0.19
03/03/03,1.04665E+12,47.43,-0.273,-0.13
01/04/03,1.04916E+12,47.27,-0.337,-0.16
01/05/03,1.05175E+12,46.97,-0.635,-0.3
02/06/03,1.05451E+12,46.36,-1.299,-0.61
01/07/03,1.05702E+12,46.12,-0.518,-0.24
01/08/03,1.0597E+12,45.84,-0.607,-0.28
01/09/03,1.06237E+12,45.6,-0.524,-0.24
01/10/03,1.06497E+12,45.31,-0.636,-0.29
03/11/03,1.06782E+12,45.72,0.905,0.41
01/12/03,1.07024E+12,45.59,-0.284,-0.13
01/01/04,1.07292E+12,45.23,-0.79,-0.36
02/02/04,1.07568E+12,45.16,-0.155,-0.07
01/03/04,1.0781E+12,43.3,-4.119,-1.86
01/04/04,1.08078E+12,44.42,2.587,1.12
03/05/04,1.08354E+12,45.47,2.364,1.05
01/06/04,1.08605E+12,45.95,1.056,0.48
01/07/04,1.08864E+12,46.35,0.871,0.4
02/08/04,1.0914E+12,46.28,-0.151,-0.07
01/09/04,1.094E+12,45.9,-0.821,-0.38
01/10/04,1.09659E+12,45.31,-1.285,-0.59
01/11/04,1.09927E+12,44.45,-1.898,-0.86
01/12/04,1.10186E+12,43.23,-2.745,-1.22
03/01/05,1.10471E+12,43.59,0.833,0.36
01/02/05,1.10722E+12,43.57,-0.046,-0.02
01/03/05,1.10964E+12,43.63,0.138,0.06
01/04/05,1.11231E+12,43.38,-0.573,-0.25
02/05/05,1.11499E+12,43.65,0.622,0.27
01/06/05,1.11758E+12,43.46,-0.435,-0.19
01/07/05,1.12018E+12,43.4,-0.138,-0.06
01/08/05,1.12285E+12,43.99,1.359,0.59
01/09/05,1.12553E+12,43.93,-0.136,-0.06
03/10/05,1.1283E+12,45.04,2.527,1.11
01/11/05,1.1308E+12,45.86,1.821,0.82
01/12/05,1.1334E+12,44.97,-1.941,-0.89
02/01/06,1.13616E+12,43.89,-2.402,-1.08
01/02/06,1.13875E+12,44.25,0.82,0.36
01/03/06,1.14117E+12,44.48,0.52,0.23
03/04/06,1.14402E+12,44.88,0.899,0.4
01/05/06,1.14644E+12,46.29,3.142,1.41
01/06/06,1.14912E+12,45.87,-0.907,-0.42
03/07/06,1.15188E+12,46.49,1.352,0.62
01/08/06,1.15439E+12,46.46,-0.065,-0.03
01/09/06,1.15707E+12,45.9,-1.205,-0.56
02/10/06,1.15975E+12,44.9,-2.179,-1
01/11/06,1.16234E+12,44.59,-0.69,-0.31
01/12/06,1.16493E+12,44.11,-1.076,-0.48
01/01/07,1.16761E+12,44.07,-0.091,-0.04
01/02/07,1.17029E+12,44.08,0.023,0.01
01/03/07,1.17271E+12,43.1,-2.223,-0.98
02/04/07,1.17547E+12,41.04,-4.78,-2.06
01/05/07,1.17798E+12,40.36,-1.657,-0.68
01/06/07,1.18066E+12,40.5,0.347,0.14
02/07/07,1.18333E+12,40.18,-0.79,-0.32
01/08/07,1.18593E+12,40.62,1.095,0.44
03/09/07,1.18878E+12,39.65,-2.388,-0.97
01/10/07,1.1912E+12,39.18,-1.185,-0.47
01/11/07,1.19388E+12,39.5,0.817,0.32
