date,x,y,percentChange,change
1995-11-03,815356800000,862.1,,
1995-12-01,817776000000,908.53,5.386,46.43
1996-01-01,820454400000,848.42,-6.616,-60.11
1996-02-01,823132800000,992.51,16.983,144.09
1996-03-01,825638400000,985.3,-0.726,-7.21
1996-04-01,828316800000,1114.36,13.099,129.06
1996-05-01,830908800000,1089.92,-2.193,-24.44
1996-06-03,833760000000,1122.0,2.943,32.08
1996-07-01,836179200000,1042.81,-7.058,-79.19
1996-08-01,838857600000,1029.0,-1.324,-13.81
1996-09-02,841622400000,943.96,-8.264,-85.04
1996-10-01,844128000000,909.29,-3.673,-34.67
1996-11-01,846806400000,830.32,-8.685,-78.97
1996-12-02,849484800000,899.1,8.284,68.78
1997-01-01,852076800000,972.65,8.18,73.55
1997-02-03,854928000000,998.65,2.673,26.0
1997-03-01,857174400000,968.3,-3.039,-30.35
1997-04-01,859852800000,1079.85,11.52,111.55
1997-05-02,862531200000,1050.9,-2.681,-28.95
1997-06-02,865209600000,1192.4,13.465,141.5
1997-07-01,867715200000,1221.5,2.44,29.1
1997-08-01,870393600000,1105.0,-9.537,-116.5
1997-09-01,873072000000,1123.8,1.701,18.8
1997-10-01,875664000000,1085.25,-3.43,-38.55
1997-11-03,878515200000,1023.95,-5.648,-61.3
1997-12-01,880934400000,1079.4,5.415,55.45
1998-01-01,883612800000,963.45,-10.742,-115.95
1998-02-02,886377600000,1060.75,10.099,97.3
1998-03-02,888796800000,1116.9,5.293,56.15
1998-04-01,891388800000,1159.35,3.801,42.45
1998-05-04,894240000000,1063.15,-8.298,-96.2
1998-06-01,896659200000,941.65,-11.428,-121.5
1998-07-01,899251200000,931.4,-1.089,-10.25
1998-08-03,902102400000,852.8,-8.439,-78.6
1998-09-01,904608000000,904.95,6.115,52.15
1998-10-05,907545600000,824.55,-8.884,-80.4
1998-11-02,909964800000,817.75,-0.8250000000000001,-6.8
1998-12-01,912470400000,884.25,8.132,66.5
1999-01-01,915148800000,966.2,9.268,81.95
1999-02-01,917827200000,981.3,1.5630000000000002,15.1
1999-03-01,920246400000,1078.05,9.859,96.75
1999-04-01,922924800000,978.2,-9.262,-99.85
1999-05-03,925689600000,1132.3,15.753,154.1
1999-06-01,928195200000,1187.7,4.893,55.4
1999-07-01,930787200000,1310.15,10.31,122.45
1999-08-02,933552000000,1412.0,7.774,101.85
1999-09-01,936144000000,1413.1,0.078,1.1
1999-10-01,938736000000,1325.45,-6.203,-87.65
1999-11-01,941414400000,1376.15,3.825,50.7
1999-12-01,944006400000,1480.45,7.579,104.3
2000-01-03,946857600000,1546.2,4.441,65.75
2000-02-01,949363200000,1654.8,7.024,108.6
2000-03-01,951868800000,1528.45,-7.635,-126.35
2000-04-03,954720000000,1406.55,-7.975,-121.9
2000-05-02,957225600000,1380.45,-1.8559999999999999,-26.1
2000-06-01,959817600000,1471.45,6.592,91.0
2000-07-03,962582400000,1332.85,-9.419,-138.6
2000-08-01,965088000000,1394.1,4.595,61.25
2000-09-04,968025600000,1271.65,-8.783,-122.45
2000-10-03,970531200000,1172.75,-7.777,-98.9
2000-11-01,973036800000,1268.15,8.135,95.4
2000-12-01,975628800000,1263.55,-0.363,-4.6
2001-01-01,978307200000,1371.7,8.559,108.15
